"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2001","6,372.28","6,466.02","6,466.06","6,372.25","27.72M","-1.47%"
"12/28/2001","6,467.09","6,419.26","6,490.10","6,419.26","47.26M","0.75%"
"12/27/2001","6,419.19","6,371.93","6,422.17","6,369.42","44.56M","0.74%"
"12/26/2001","6,371.84","6,374.78","6,397.43","6,368.30","30.80M","-0.04%"
"12/24/2001","6,374.49","6,380.39","6,384.31","6,368.95","18.00M","-0.10%"
"12/21/2001","6,380.60","6,263.26","6,381.51","6,252.54","79.57M","1.87%"
"12/20/2001","6,263.29","6,252.56","6,268.88","6,225.44","80.33M","0.20%"
"12/19/2001","6,250.74","6,268.54","6,271.56","6,208.01","98.32M","-0.29%"
"12/18/2001","6,268.97","6,271.54","6,326.36","6,247.09","94.82M","-0.04%"
"12/17/2001","6,271.49","6,133.55","6,271.96","6,133.55","81.92M","2.16%"
"12/14/2001","6,139.07","6,074.18","6,139.34","6,069.25","70.25M","1.05%"
"12/13/2001","6,075.06","6,150.09","6,150.46","6,057.17","110.53M","-1.22%"
"12/11/2001","6,150.26","6,136.03","6,200.55","6,134.80","95.17M","0.39%"
"12/10/2001","6,126.38","6,139.26","6,162.24","6,117.12","52.56M","-0.24%"
"12/07/2001","6,141.19","6,101.59","6,157.77","6,081.03","69.93M","0.65%"
"12/06/2001","6,101.72","6,099.56","6,176.62","6,084.96","122.80M","0.04%"
"12/05/2001","6,099.28","5,931.66","6,111.36","5,931.66","166.46M","2.83%"
"12/04/2001","5,931.43","5,872.31","5,931.43","5,872.31","84.12M","1.03%"
"12/03/2001","5,870.93","5,833.05","5,871.79","5,800.06","45.16M","0.65%"
"11/30/2001","5,832.83","5,841.00","5,850.04","5,817.16","49.23M","-0.15%"
"11/29/2001","5,841.34","5,847.36","5,856.60","5,812.07","68.47M","-0.12%"
"11/28/2001","5,848.21","5,861.12","5,907.35","5,840.93","108.03M","-0.21%"
"11/27/2001","5,860.44","5,759.33","5,865.87","5,749.25","116.16M","1.75%"
"11/26/2001","5,759.49","5,735.12","5,761.86","5,721.29","74.84M","0.43%"
"11/23/2001","5,734.90","5,685.29","5,735.18","5,674.49","44.17M","0.87%"
"11/22/2001","5,685.39","5,674.22","5,685.39","5,666.86","15.92M","0.19%"
"11/21/2001","5,674.41","5,689.67","5,690.06","5,635.27","72.25M","-0.43%"
"11/19/2001","5,699.19","5,711.82","5,741.28","5,698.11","39.71M","-0.23%"
"11/16/2001","5,712.46","5,772.21","5,781.45","5,712.46","55.22M","-1.15%"
"11/15/2001","5,778.65","5,751.85","5,786.83","5,735.30","73.46M","0.47%"
"11/14/2001","5,751.72","5,663.84","5,767.48","5,663.84","105.14M","1.56%"
"11/13/2001","5,663.35","5,530.70","5,663.91","5,530.70","109.93M","2.51%"
"11/12/2001","5,524.57","5,588.19","5,588.36","5,514.41","83.52M","-1.28%"
"11/09/2001","5,596.38","5,649.92","5,649.92","5,565.05","86.35M","-0.95%"
"11/08/2001","5,649.87","5,640.09","5,670.93","5,636.51","64.62M","0.21%"
"11/07/2001","5,638.04","5,677.30","5,679.05","5,637.90","81.85M","-0.70%"
"11/06/2001","5,677.79","5,681.02","5,688.06","5,647.95","74.76M","-0.06%"
"11/05/2001","5,681.07","5,634.13","5,691.09","5,634.13","74.10M","0.86%"
"11/02/2001","5,632.76","5,610.65","5,636.78","5,600.52","46.29M","0.39%"
"11/01/2001","5,610.77","5,542.50","5,612.92","5,538.84","78.28M","1.33%"
"10/31/2001","5,537.04","5,530.52","5,597.08","5,525.89","77.79M","0.14%"
"10/30/2001","5,529.18","5,596.40","5,596.40","5,511.94","75.57M","-1.25%"
"10/29/2001","5,599.13","5,693.09","5,693.61","5,596.50","48.03M","-1.65%"
"10/26/2001","5,693.12","5,728.64","5,754.80","5,693.12","59.67M","-0.63%"
"10/25/2001","5,729.13","5,708.12","5,740.27","5,650.74","54.63M","0.37%"
"10/24/2001","5,708.28","5,573.61","5,708.28","5,573.61","114.52M","2.46%"
"10/23/2001","5,571.27","5,539.47","5,584.79","5,525.58","54.56M","0.58%"
"10/22/2001","5,539.28","5,584.12","5,596.11","5,520.74","36.76M","-0.88%"
"10/19/2001","5,588.23","5,532.09","5,590.56","5,487.16","64.19M","1.06%"
"10/18/2001","5,529.75","5,543.39","5,561.65","5,520.73","50.40M","-0.22%"
"10/17/2001","5,541.88","5,548.12","5,617.79","5,535.24","62.67M","-0.01%"
"10/16/2001","5,542.61","5,500.66","5,556.57","5,485.65","57.14M","0.77%"
"10/15/2001","5,500.10","5,670.44","5,670.44","5,499.30","61.00M","-3.02%"
"10/12/2001","5,671.10","5,801.38","5,801.38","5,643.83","67.93M","-2.36%"
"10/11/2001","5,808.22","5,688.14","5,853.37","5,688.09","123.47M","2.17%"
"10/10/2001","5,684.90","5,556.12","5,687.10","5,523.58","119.27M","2.27%"
"10/09/2001","5,558.86","5,529.70","5,614.58","5,522.36","69.51M","0.57%"
"10/08/2001","5,527.11","5,526.89","5,554.77","5,490.99","47.49M","-0.03%"
"10/05/2001","5,528.55","5,500.68","5,550.72","5,460.10","63.28M","0.53%"
"10/04/2001","5,499.31","5,410.46","5,540.95","5,410.46","108.24M","1.70%"
"10/03/2001","5,407.54","5,361.22","5,428.61","5,316.25","103.90M","0.85%"
"10/02/2001","5,361.80","5,389.39","5,425.42","5,352.94","67.59M","-0.44%"
"10/01/2001","5,385.50","5,404.42","5,436.98","5,360.24","51.77M","-0.33%"
