"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/1991","0","0","0","0","211.33M","0.00%"
"01/03/1991","0","0","0","0","555.38M","0.00%"
"01/04/1991","0","0","0","0","853.62M","0.00%"
"01/07/1991","0","0","0","0","880.84M","0.00%"
"01/08/1991","0","0","0","0","685.82M","0.00%"
"01/09/1991","0","0","0","0","1.08B","0.00%"
"01/10/1991","0","0","0","0","1.08B","0.00%"
"01/11/1991","0","0","0","0","831.20M","0.00%"
"01/14/1991","0","0","0","0","840.54M","0.00%"
"01/15/1991","0","0","0","0","994.50M","0.00%"
"01/16/1991","0","0","0","0","1.41B","0.00%"
"01/17/1991","0","0","0","0","1.70B","0.00%"
"01/18/1991","0","0","0","0","1.89B","0.00%"
"01/21/1991","0","0","0","0","2.10B","0.00%"
"01/22/1991","0","0","0","0","1.94B","0.00%"
"01/23/1991","0","0","0","0","1.10B","0.00%"
"01/24/1991","0","0","0","0","2.19B","0.00%"
"01/28/1991","0","0","0","0","1.81B","0.00%"
"01/29/1991","0","0","0","0","4.51B","0.00%"
"01/30/1991","0","0","0","0","3.39B","0.00%"
"01/31/1991","0","0","0","0","3.14B","0.00%"
"02/04/1991","0","0","0","0","6.56B","0.00%"
"02/05/1991","0","0","0","0","3.89B","0.00%"
"02/06/1991","0","0","0","0","2.79B","0.00%"
"02/07/1991","0","0","0","0","2.32B","0.00%"
"02/08/1991","0","0","0","0","1.90B","0.00%"
"02/14/1991","0","0","0","0","1.62B","0.00%"
"02/15/1991","0","0","0","0","2.87B","0.00%"
"02/18/1991","0","0","0","0","2.27B","0.00%"
"02/19/1991","0","0","0","0","2.02B","0.00%"
"02/20/1991","0","0","0","0","1.86B","0.00%"
"02/21/1991","0","0","0","0","2.67B","0.00%"
"02/22/1991","0","0","0","0","2.35B","0.00%"
"02/25/1991","0","0","0","0","3.19B","0.00%"
"02/26/1991","0","0","0","0","3.11B","0.00%"
"02/27/1991","0","0","0","0","3.45B","0.00%"
"02/28/1991","0","0","0","0","5.30B","0.00%"
"03/01/1991","0","0","0","0","3.23B","0.00%"
"03/04/1991","0","0","0","0","1.39B","0.00%"
"03/05/1991","0","0","0","0","3.30B","0.00%"
