"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2001","295.39","308.33","311.23","283.53","","-7.82%"
"12/20/2001","320.46","273.37","320.49","273.37","","17.49%"
"12/19/2001","272.76","252.23","272.76","245.99","","7.62%"
"12/18/2001","253.44","257.18","258.63","250.45","","-1.22%"
"12/17/2001","256.57","252.67","257.37","252.67","","1.54%"
"12/14/2001","252.67","253.19","258.80","249.55","","0.27%"
"12/13/2001","251.98","242.58","253.24","240.46","","4.40%"
"12/12/2001","241.37","239.92","247.56","239.87","","0.86%"
"12/11/2001","239.32","235.72","239.57","231.74","","1.79%"
"12/10/2001","235.12","253.20","253.20","234.60","","-7.59%"
"12/07/2001","254.42","253.88","270.75","244.07","","0.38%"
"12/06/2001","253.45","229.18","258.24","229.18","","10.59%"
"12/05/2001","229.18","211.25","235.82","207.69","","8.02%"
"12/04/2001","212.16","216.00","217.95","209.04","","-1.21%"
"12/03/2001","214.75","203.25","214.95","203.25","","6.08%"
"11/30/2001","202.45","199.64","203.06","193.40","","0.79%"
"11/29/2001","200.86","210.77","210.77","199.55","","-5.25%"
"11/28/2001","211.98","217.39","218.15","211.86","","-3.03%"
"11/27/2001","218.61","222.85","222.98","218.12","","-2.35%"
"11/26/2001","223.87","214.44","224.56","214.44","","4.99%"
"11/23/2001","213.23","208.93","213.83","208.93","","2.16%"
"11/22/2001","208.72","205.70","210.31","205.70","","1.68%"
"11/21/2001","205.28","205.21","208.67","203.38","","0.20%"
"11/20/2001","204.87","218.13","218.13","202.93","","-6.08%"
"11/19/2001","218.14","219.64","222.92","216.27","","-0.68%"
"11/16/2001","219.64","226.73","226.83","219.63","","-3.38%"
"11/15/2001","227.33","221.59","228.05","218.33","","2.64%"
"11/14/2001","221.48","221.75","224.67","218.43","","-1.17%"
"11/13/2001","224.10","227.64","229.86","221.80","","-1.11%"
"11/12/2001","226.62","227.90","227.90","221.59","","-0.76%"
"11/09/2001","228.36","232.55","232.55","225.13","","-2.56%"
"11/08/2001","234.37","237.52","240.96","232.49","","-1.08%"
"11/07/2001","236.92","230.73","244.41","230.22","","2.70%"
"11/05/2001","230.70","222.50","231.42","222.50","","3.69%"
"11/02/2001","222.50","224.25","231.53","221.29","","-2.85%"
"11/01/2001","229.02","223.54","233.55","217.54","","1.90%"
"10/31/2001","224.75","223.66","234.87","221.61","","0.52%"
"10/30/2001","223.58","219.55","223.58","208.97","","1.84%"
"10/29/2001","219.54","238.57","238.57","218.64","","-8.67%"
"10/26/2001","240.39","243.97","243.97","237.94","","-2.20%"
"10/25/2001","245.79","246.00","246.00","241.21","","-0.33%"
"10/24/2001","246.61","247.00","249.74","245.65","","-0.16%"
"10/23/2001","247.00","252.72","252.72","246.56","","-2.26%"
"10/22/2001","252.72","255.44","256.92","249.71","","-0.18%"
"10/19/2001","253.17","251.06","253.80","245.24","","0.84%"
"10/18/2001","251.06","251.70","255.22","248.08","","-0.22%"
"10/17/2001","251.61","245.57","258.95","245.57","","3.48%"
"10/16/2001","243.15","232.13","246.48","231.48","","5.02%"
"10/15/2001","231.52","232.97","232.97","229.53","","-0.62%"
"10/12/2001","232.97","231.59","234.35","227.31","","0.07%"
"10/11/2001","232.81","226.33","235.49","226.33","","3.91%"
"10/10/2001","224.06","213.52","224.76","213.52","","4.94%"
"10/09/2001","213.52","212.04","215.62","210.22","","-0.63%"
"10/05/2001","214.87","206.57","217.17","201.89","","3.93%"
"10/04/2001","206.75","214.64","218.63","203.99","","-3.64%"
"10/03/2001","214.55","229.55","229.55","213.56","","-7.02%"
"10/02/2001","230.76","239.42","240.03","229.06","","-4.34%"
"10/01/2001","241.24","241.87","244.96","241.04","","-0.95%"
"09/28/2001","243.55","248.92","251.82","243.21","","-2.02%"
"09/27/2001","248.58","244.69","248.58","242.85","","1.61%"
"09/26/2001","244.65","244.43","248.78","241.05","","0.30%"
"09/25/2001","243.92","247.26","249.39","243.26","","-1.35%"
"09/24/2001","247.26","239.64","250.41","239.64","","3.24%"
"09/21/2001","239.50","236.33","239.66","234.50","","-1.11%"
"09/20/2001","242.20","251.46","251.46","240.38","","-4.07%"
"09/19/2001","252.47","268.43","272.74","250.40","","-6.01%"
"09/18/2001","268.60","267.85","271.55","265.07","","0.38%"
"09/17/2001","267.57","265.41","275.89","265.41","","0.58%"
"09/14/2001","266.03","263.96","266.22","248.04","","0.35%"
"09/13/2001","265.09","270.84","281.78","261.95","","-2.66%"
"09/11/2001","272.34","286.76","286.76","270.90","","-5.18%"
"09/10/2001","287.21","299.53","299.53","287.14","","-4.30%"
"09/07/2001","300.10","306.47","306.47","298.48","","-2.23%"
"09/06/2001","306.95","312.57","312.57","306.14","","-2.04%"
"09/05/2001","313.33","314.77","315.13","311.36","","-0.46%"
"09/04/2001","314.77","319.54","321.55","314.23","","-1.32%"
"09/03/2001","318.97","319.89","320.46","318.38","","-0.29%"
"08/31/2001","319.89","317.74","320.47","316.62","","0.44%"
"08/30/2001","318.50","324.23","329.25","317.10","","-2.11%"
"08/29/2001","325.35","322.85","328.09","321.84","","1.02%"
"08/28/2001","322.06","316.01","322.14","316.01","","2.23%"
"08/27/2001","315.05","316.59","316.98","312.81","","-0.49%"
"08/24/2001","316.59","317.61","318.57","311.78","","-0.85%"
"08/23/2001","319.30","328.94","329.69","319.19","","-2.76%"
"08/22/2001","328.37","308.44","329.90","308.44","","8.16%"
"08/21/2001","303.60","312.25","313.05","302.99","","-3.47%"
"08/17/2001","314.50","332.49","333.05","313.99","","-6.05%"
"08/16/2001","334.74","326.39","337.01","326.39","","2.41%"
"08/15/2001","326.85","317.16","327.99","316.60","","3.24%"
"08/14/2001","316.60","326.94","326.94","314.48","","-3.12%"
"08/13/2001","326.80","331.50","331.65","324.40","","-1.42%"
"08/10/2001","331.51","326.43","333.00","321.97","","1.56%"
"08/09/2001","326.43","319.89","326.83","319.87","","2.28%"
"08/08/2001","319.14","307.89","320.04","307.89","","3.88%"
"08/07/2001","307.21","302.13","309.28","302.13","","1.62%"
"08/06/2001","302.31","311.88","312.04","300.96","","-3.24%"
"08/03/2001","312.44","314.81","318.54","311.00","","-0.13%"
"08/02/2001","312.84","307.81","317.67","307.81","","1.88%"
"08/01/2001","307.08","320.03","320.06","302.15","","-4.27%"
"07/31/2001","320.79","319.85","325.28","319.62","","0.29%"
"07/30/2001","319.85","326.74","334.14","319.39","","-0.91%"
"07/27/2001","322.80","320.39","323.06","317.92","","0.22%"
"07/26/2001","322.08","328.00","328.00","320.58","","-2.48%"
"07/25/2001","330.26","319.75","330.26","315.84","","1.38%"
"07/24/2001","325.77","337.69","339.02","322.95","","-3.53%"
"07/23/2001","337.69","337.12","345.78","335.89","","1.07%"
"07/20/2001","334.11","322.04","334.11","322.04","","4.48%"
"07/19/2001","319.79","325.81","326.56","315.92","","-1.68%"
"07/18/2001","325.25","338.55","341.64","324.63","","-4.25%"
"07/17/2001","339.67","327.73","343.17","327.73","","4.85%"
"07/16/2001","323.96","327.39","331.32","320.23","","-1.56%"
"07/13/2001","329.08","315.03","332.42","308.35","","5.59%"
"07/12/2001","311.65","335.59","335.59","293.23","","-8.17%"
"07/11/2001","339.36","345.05","345.05","320.12","","-2.23%"
"07/10/2001","347.11","370.56","370.56","346.28","","-6.14%"
"07/06/2001","369.81","372.74","373.95","363.24","","-0.79%"
"07/05/2001","372.74","387.09","391.28","372.49","","-3.43%"
"07/04/2001","385.96","389.11","389.11","384.98","","-0.81%"
"07/03/2001","389.11","406.16","408.21","387.50","","-4.20%"
"07/02/2001","406.16","402.23","406.37","400.12","","0.97%"
"06/29/2001","402.25","408.95","408.95","400.49","","-1.80%"
"06/28/2001","409.64","417.16","419.84","408.37","","-1.80%"
"06/27/2001","417.16","420.52","420.97","416.30","","-0.80%"
"06/26/2001","420.53","425.14","425.14","419.63","","-1.24%"
"06/25/2001","425.81","417.47","426.01","417.02","","2.44%"
"06/22/2001","415.67","423.76","423.90","414.91","","-1.91%"
"06/21/2001","423.76","418.79","425.65","418.79","","1.00%"
"06/20/2001","419.55","417.50","423.13","416.74","","0.35%"
"06/19/2001","418.08","435.07","435.07","415.35","","-4.60%"
"06/15/2001","438.22","438.13","438.22","431.24","","-0.11%"
"06/14/2001","438.72","444.85","444.94","438.47","","-1.58%"
"06/13/2001","445.75","449.87","455.32","445.33","","-0.99%"
"06/12/2001","450.21","444.12","451.23","441.40","","1.05%"
"06/11/2001","445.51","451.40","453.13","444.14","","-1.30%"
"06/08/2001","451.40","451.67","454.92","446.47","","0.09%"
"06/07/2001","450.98","438.74","451.59","435.55","","2.68%"
"06/06/2001","439.19","443.35","444.78","437.30","","-0.84%"
"06/05/2001","442.90","444.18","450.78","441.99","","-0.19%"
"06/04/2001","443.73","437.15","443.93","437.15","","1.82%"
"06/01/2001","435.80","438.77","438.77","429.93","","-0.78%"
"05/31/2001","439.22","428.37","439.22","428.37","","2.64%"
"05/30/2001","427.92","430.44","430.44","425.95","","-0.53%"
"05/29/2001","430.21","436.68","436.68","429.62","","-1.48%"
"05/28/2001","436.68","440.73","440.77","434.49","","-0.92%"
"05/24/2001","440.73","440.73","444.59","438.93","","0.01%"
"05/23/2001","440.68","436.84","441.36","430.41","","0.89%"
"05/22/2001","436.80","436.16","440.40","434.25","","0.31%"
"05/21/2001","435.47","428.13","435.47","428.13","","1.73%"
"05/18/2001","428.05","433.76","435.02","427.36","","-1.01%"
"05/17/2001","432.41","429.72","439.02","429.30","","0.63%"
"05/16/2001","429.72","419.91","430.90","419.91","","2.56%"
"05/15/2001","419.01","416.50","422.70","416.49","","0.82%"
"05/14/2001","415.60","415.21","418.71","412.89","","-0.91%"
"05/11/2001","419.43","429.71","429.71","417.35","","-2.70%"
"05/10/2001","431.09","431.73","434.32","427.94","","-0.04%"
"05/09/2001","431.28","429.93","432.02","425.11","","0.52%"
"05/08/2001","429.03","444.09","445.23","427.77","","-3.39%"
"05/07/2001","444.09","443.63","449.73","443.52","","0.41%"
"05/04/2001","442.28","431.18","443.22","427.48","","2.57%"
"05/03/2001","431.18","433.40","434.59","424.44","","-0.51%"
"05/02/2001","433.40","435.63","436.21","430.19","","-0.51%"
"04/30/2001","435.63","449.36","450.90","434.49","","-3.06%"
"04/27/2001","449.36","439.22","449.50","438.77","","2.73%"
"04/26/2001","437.42","426.70","437.83","426.14","","3.95%"
"04/25/2001","420.78","418.94","420.78","411.68","","0.11%"
"04/24/2001","420.32","413.60","424.09","413.60","","2.14%"
"04/23/2001","411.53","418.83","420.21","408.59","","-2.05%"
"04/20/2001","420.16","446.93","446.93","419.52","","-6.27%"
"04/19/2001","448.28","467.29","467.29","446.91","","-4.04%"
"04/18/2001","467.15","448.74","468.70","448.74","","4.22%"
"04/17/2001","448.24","444.27","448.59","444.27","","0.89%"
"04/16/2001","444.27","454.36","454.36","442.73","","-2.61%"
"04/11/2001","456.16","463.67","465.90","455.18","","-1.48%"
"04/10/2001","462.99","463.68","470.24","462.92","","0.00%"
"04/09/2001","463.00","452.94","463.39","452.94","","2.22%"
"04/06/2001","452.94","447.90","453.48","447.90","","0.92%"
"04/05/2001","448.80","432.38","450.29","432.38","","4.12%"
"04/04/2001","431.03","433.09","437.55","427.99","","-0.37%"
"04/03/2001","432.64","442.00","442.00","430.01","","-2.52%"
"03/30/2001","443.81","443.38","446.53","437.90","","0.10%"
"03/29/2001","443.38","453.66","456.38","443.38","","-2.33%"
"03/28/2001","453.97","461.37","461.37","451.74","","-1.34%"
"03/27/2001","460.12","449.69","465.44","446.88","","1.94%"
